Runs	oilvis	dtmax	kvkh	mflt1	mflt2	mflt3	mflt4	oilexp	owc	sorw	swc	watexp	scen	prop	size	perm	poro
run48	10.1688000000	182.5000000000	0.0010000000	0.6229630000	0.1516680000	0.0085017100	0.1583850000	3.0095600000	-1072.7800000000	0.2120190000	0.2177720000	2.0768900000	1.0000000000	33.5524000000	125.7520000000	676	431
run49	11.0121000000	365.0000000000	0.0100000000	0.4133310000	0.5654060000	0.0043251200	0.7475260000	2.9907400000	-1073.0700000000	0.2926810000	0.3150720000	1.8774000000	2.0000000000	40.3977000000	138.5330000000	522	496
run50	9.9651900000	365.0000000000	0.0010000000	0.0719647000	0.1263630000	0.7891450000	0.8736980000	3.2062200000	-1061.0500000000	0.3089950000	0.2180200000	2.0188800000	2.0000000000	35.6069000000	171.6150000000	658	433
run51	9.6072800000	91.2500000000	0.0010000000	0.9840970000	0.3840880000	0.2154180000	0.9850140000	2.8767000000	-1062.4300000000	0.2328580000	0.2110020000	2.0204800000	1.0000000000	46.2755000000	297.7720000000	421	496
run52	9.6610700000	365.0000000000	0.0100000000	0.4211060000	0.9218450000	0.1183740000	0.5005820000	3.0945900000	-1065.6400000000	0.1251870000	0.1929200000	2.0599500000	2.0000000000	46.3860000000	271.1110000000	307	645
run53	6.1285300000	91.2500000000	0.0010000000	0.2555410000	0.2242410000	0.1893220000	0.1595970000	2.8458500000	-1065.6900000000	0.3181080000	0.2087470000	2.1515600000	2.0000000000	36.4351000000	102.3930000000	658	433
run54	8.2483000000	365.0000000000	0.0010000000	0.0270698000	0.9099330000	0.7147910000	0.8198050000	3.1432600000	-1073.5300000000	0.2678850000	0.1813880000	2.1070300000	1.0000000000	37.3470000000	124.0550000000	593	433
run55	7.5455700000	365.0000000000	0.1000000000	0.1507730000	0.7756740000	0.1304350000	0.4079530000	2.6230700000	-1064.0100000000	0.2461380000	0.1548590000	1.8909700000	1.0000000000	46.1943000000	256.4380000000	176	684
run56	8.1301900000	91.2500000000	0.0100000000	0.2872130000	0.3528190000	0.7691200000	0.6381890000	2.9634500000	-1073.9700000000	0.2270370000	0.1510300000	2.0372900000	2.0000000000	37.0479000000	159.2060000000	658	433
run57	7.9844800000	91.2500000000	0.1000000000	0.6890070000	0.8706280000	0.7075280000	0.3494010000	2.9416800000	-1068.8400000000	0.2228650000	0.2352530000	1.9493200000	1.0000000000	46.6362000000	145.9360000000	171	661
run58	8.4345500000	182.5000000000	0.0010000000	0.1982980000	0.6696610000	0.0136874000	0.5094210000	3.2774400000	-1063.9300000000	0.1301380000	0.0946925000	2.0131600000	1.0000000000	37.5021000000	225.7240000000	479	512
run59	8.3220300000	182.5000000000	0.0100000000	0.8574350000	0.0347578000	0.9083270000	0.7425770000	2.7899200000	-1066.3400000000	0.0969694000	0.1371620000	2.0130200000	2.0000000000	30.8448000000	131.9410000000	808	302
run60	13.0499000000	91.2500000000	0.1000000000	0.0743679000	0.0864521000	0.3056420000	0.5040240000	2.8530700000	-1065.9000000000	0.2369910000	0.1216970000	2.0437800000	1.0000000000	47.3345000000	133.2040000000	80	671
run61	8.3089500000	91.2500000000	0.1000000000	0.0733668000	0.2664120000	0.7648610000	0.1406660000	3.1039800000	-1066.6700000000	0.1028400000	0.1567570000	2.0704400000	3.0000000000	49.9841000000	188.3270000000	191	646
run62	6.5518400000	182.5000000000	0.0100000000	0.8102570000	0.3330790000	0.2423330000	0.3339680000	2.7234600000	-1071.5800000000	0.2311390000	0.1564340000	2.1531600000	2.0000000000	49.7168000000	143.2630000000	187	709
run63	10.3700000000	365.0000000000	0.0100000000	0.2715310000	0.2486110000	0.9617440000	0.5861270000	3.0589500000	-1066.7500000000	0.2279170000	0.1316400000	2.2069100000	1.0000000000	36.6427000000	115.3320000000	658	433
run64	11.2930000000	182.5000000000	0.0100000000	0.7611800000	0.0687647000	0.8091180000	0.2981730000	2.7675600000	-1075.1200000000	0.1511180000	0.2968770000	1.9775200000	2.0000000000	35.2126000000	112.3420000000	658	433
run65	11.4067000000	365.0000000000	0.0010000000	0.8828940000	0.4115080000	0.7820110000	0.6325690000	3.2097500000	-1070.4700000000	0.1967390000	0.1619740000	2.0737200000	2.0000000000	35.1418000000	224.2900000000	658	431
run66	9.1592500000	91.2500000000	0.1000000000	0.8456770000	0.7567460000	0.5745920000	0.4254480000	2.9829000000	-1064.3600000000	0.1562520000	0.1851880000	2.0568600000	1.0000000000	37.4862000000	122.0340000000	658	433
run67	11.0295000000	91.2500000000	0.0010000000	0.3465710000	0.6959970000	0.9789840000	0.4047830000	3.0786900000	-1064.0600000000	0.2455500000	0.2250450000	1.7496100000	3.0000000000	45.4332000000	213.7970000000	308	584
run68	9.8704000000	91.2500000000	0.0010000000	0.3111610000	0.0060264900	0.2265220000	0.2401400000	3.0996900000	-1069.6400000000	0.1655700000	0.2353340000	1.9948800000	2.0000000000	35.5171000000	105.3900000000	658	433
run69	10.7432000000	365.0000000000	0.1000000000	0.2243600000	0.1004280000	0.1995000000	0.0499538000	2.8364900000	-1062.0300000000	0.2365050000	0.1828740000	1.9673200000	2.0000000000	47.7953000000	197.7690000000	190	684
run70	11.4645000000	91.2500000000	0.1000000000	0.1627900000	0.0945845000	0.8035900000	0.1719270000	2.9238500000	-1067.4600000000	0.1982320000	0.1623500000	2.2407900000	1.0000000000	37.8787000000	292.0410000000	553	426
run71	11.9283000000	365.0000000000	0.0100000000	0.8067550000	0.6373680000	0.0277624000	0.4864600000	2.9170600000	-1064.2400000000	0.1618370000	0.2293910000	2.2295800000	3.0000000000	32.9060000000	180.7640000000	708	431
run72	8.3371700000	365.0000000000	0.0010000000	0.2013230000	0.5210850000	0.7707040000	0.0530782000	2.9329000000	-1068.5800000000	0.2546450000	0.2957340000	2.0478400000	1.0000000000	47.3327000000	228.6970000000	191	645
run73	12.5354000000	91.2500000000	0.0010000000	0.1929120000	0.4958230000	0.0035461400	0.4224570000	2.7296100000	-1067.6000000000	0.1961320000	0.1203140000	1.9917100000	1.0000000000	40.3903000000	192.2640000000	527	473
run74	9.9873400000	182.5000000000	0.1000000000	0.5664510000	0.2182630000	0.1823110000	0.9734200000	3.1067400000	-1068.4100000000	0.3383800000	0.2414310000	2.1263800000	2.0000000000	35.9359000000	223.9910000000	658	433
run75	12.1781000000	91.2500000000	0.0100000000	0.8510440000	0.4348710000	0.3149840000	0.1646670000	2.9655600000	-1071.1000000000	0.2561100000	0.1611260000	1.7810800000	2.0000000000	40.3153000000	219.9260000000	523	496
run76	8.9368900000	365.0000000000	0.1000000000	0.6115660000	0.5500470000	0.3017100000	0.0821969000	3.1974100000	-1074.0600000000	0.2128870000	0.1394030000	1.8893100000	1.0000000000	45.2013000000	161.3240000000	208	690
run77	12.1615000000	182.5000000000	0.1000000000	0.0668410000	0.8641460000	0.2220950000	0.0713987000	3.2906700000	-1075.9700000000	0.2220480000	0.1975680000	2.2137600000	2.0000000000	45.2153000000	182.6620000000	308	646
run78	10.2223000000	365.0000000000	0.0100000000	0.0904916000	0.2155850000	0.4082460000	0.8522600000	2.9595300000	-1072.1000000000	0.1738260000	0.1672250000	1.8094300000	2.0000000000	42.3215000000	156.0080000000	523	508
run79	9.4095900000	91.2500000000	0.1000000000	0.0982682000	0.7259220000	0.1424190000	0.6733010000	3.0271500000	-1065.8100000000	0.1805710000	0.2271880000	1.8788600000	1.0000000000	36.7025000000	147.3710000000	658	427
run80	9.8441600000	91.2500000000	0.1000000000	0.1348370000	0.6576150000	0.8929370000	0.6034280000	2.7111400000	-1075.9600000000	0.2100450000	0.1952490000	2.0891200000	2.0000000000	38.7649000000	176.0640000000	658	433
run81	9.7831200000	182.5000000000	0.0010000000	0.4852330000	0.0714148000	0.0809961000	0.1524780000	3.0757900000	-1070.1900000000	0.2124890000	0.1298840000	1.9023600000	3.0000000000	36.2368000000	124.3290000000	658	432
run82	9.0047300000	182.5000000000	0.0100000000	0.7879680000	0.6016880000	0.3881180000	0.3187280000	3.0660800000	-1063.2600000000	0.1581840000	0.1901100000	2.0808800000	3.0000000000	41.5818000000	146.0100000000	420	496
run83	7.4629000000	182.5000000000	0.0010000000	0.4968870000	0.6608050000	0.0875755000	0.5023190000	2.5589200000	-1069.3200000000	0.2277510000	0.2898270000	2.1342900000	2.0000000000	32.2962000000	200.4490000000	708	431
run84	10.7575000000	91.2500000000	0.1000000000	0.8471610000	0.1722140000	0.3953320000	0.5811060000	2.9989500000	-1075.7400000000	0.1674040000	0.1075520000	1.8326100000	2.0000000000	37.6070000000	274.4560000000	658	510
run85	11.4689000000	365.0000000000	0.1000000000	0.0975357000	0.8488650000	0.5128420000	0.9274280000	2.9704300000	-1071.4600000000	0.1599130000	0.1635820000	2.0221800000	2.0000000000	49.1449000000	196.1760000000	47	684
run86	7.2968400000	365.0000000000	0.0010000000	0.7642300000	0.1709400000	0.7454590000	0.9995670000	3.2078900000	-1074.6800000000	0.2347590000	0.2303800000	2.0060800000	1.0000000000	43.5435000000	296.7830000000	420	645
run87	13.4748000000	91.2500000000	0.0010000000	0.4843460000	0.4948510000	0.6659730000	0.7736110000	2.9724400000	-1067.2800000000	0.1928820000	0.3084330000	1.8560700000	2.0000000000	42.4174000000	105.2610000000	421	641
run88	11.0710000000	365.0000000000	0.0010000000	0.1853630000	0.9265600000	0.5900690000	0.3727130000	2.8538900000	-1074.4600000000	0.1637340000	0.1208980000	1.9737100000	1.0000000000	41.8784000000	133.5150000000	420	496
run89	7.2475400000	91.2500000000	0.1000000000	0.3660150000	0.9229510000	0.2254210000	0.9457680000	2.9998200000	-1066.3200000000	0.2221930000	0.1802940000	1.9815500000	2.0000000000	36.2246000000	129.6150000000	708	431
run90	5.9503100000	365.0000000000	0.0100000000	0.9542170000	0.9845950000	0.8018200000	0.0360285000	2.9163700000	-1068.9800000000	0.0729482000	0.2307220000	1.9026400000	1.0000000000	38.6886000000	239.1950000000	372	567
run91	11.2805000000	91.2500000000	0.1000000000	0.7577450000	0.6003030000	0.6692710000	0.0012735200	2.8717100000	-1074.8500000000	0.2276000000	0.1978910000	2.2334000000	2.0000000000	38.4481000000	123.7920000000	523	435
run92	7.5541500000	91.2500000000	0.1000000000	0.5927430000	0.9524490000	0.3020490000	0.1667050000	3.2654500000	-1069.5100000000	0.2031970000	0.2146200000	1.8040300000	2.0000000000	48.9831000000	194.9250000000	191	684
run93	11.1281000000	91.2500000000	0.0100000000	0.5479270000	0.8557560000	0.8711120000	0.1817190000	3.2799800000	-1067.5000000000	0.3119080000	0.1402210000	2.0607900000	2.0000000000	30.9449000000	116.7360000000	808	302
run94	8.2313400000	91.2500000000	0.0100000000	0.2389640000	0.1046440000	0.3354500000	0.4622610000	3.0137000000	-1064.2100000000	0.1447610000	0.1807890000	1.9446600000	1.0000000000	31.2543000000	167.9830000000	708	370
run95	9.6208300000	365.0000000000	0.0100000000	0.9057400000	0.6118810000	0.0703877000	0.9126890000	3.0765000000	-1071.4100000000	0.2097060000	0.2058300000	2.0034400000	2.0000000000	34.8262000000	213.7060000000	658	434
run96	11.7558000000	91.2500000000	0.0010000000	0.8089670000	0.8413790000	0.1451450000	0.9570730000	3.1722700000	-1071.5600000000	0.1441140000	0.2015580000	2.0695700000	1.0000000000	37.6638000000	223.6370000000	527	437
run97	8.3862500000	182.5000000000	0.1000000000	0.1289830000	0.3324000000	0.7437550000	0.3661590000	3.0502900000	-1070.7000000000	0.1881500000	0.3560500000	2.0110000000	2.0000000000	30.9369000000	262.1810000000	809	302
run98	11.3892000000	365.0000000000	0.1000000000	0.7170890000	0.3487860000	0.3645610000	0.2991800000	2.8511100000	-1063.0300000000	0.2541910000	0.1862150000	1.8397400000	1.0000000000	38.3956000000	277.0130000000	527	435
run99	10.5592000000	182.5000000000	0.0100000000	0.9071330000	0.4913930000	0.8868180000	0.9504740000	2.8357300000	-1061.9500000000	0.1905790000	0.1454560000	1.9875500000	2.0000000000	44.7984000000	219.8710000000	307	641
run100	12.0397000000	365.0000000000	0.1000000000	0.5742200000	0.6320600000	0.0382912000	0.1625510000	3.2329600000	-1061.7400000000	0.1810140000	0.2145700000	2.1294500000	1.0000000000	39.9600000000	235.7770000000	430	496
run101	10.5856000000	91.2500000000	0.0100000000	0.1443490000	0.9424030000	0.7317510000	0.0572189000	2.7771100000	-1065.1600000000	0.1925240000	0.2526350000	2.0860900000	2.0000000000	44.0196000000	164.0830000000	421	641
run102	7.8031200000	182.5000000000	0.0010000000	0.3909400000	0.5141460000	0.1477430000	0.3904340000	3.1567500000	-1070.0000000000	0.1702210000	0.2282750000	1.8982500000	1.0000000000	33.3277000000	148.2130000000	808	403
run103	9.2157200000	91.2500000000	0.0010000000	0.8336490000	0.0134843000	0.2768750000	0.0764204000	3.2730000000	-1066.2700000000	0.2016310000	0.3005060000	2.1221300000	1.0000000000	35.5007000000	247.1360000000	707	434
run104	8.8991100000	182.5000000000	0.0100000000	0.5539870000	0.5780200000	0.9714320000	0.8703250000	3.1251000000	-1067.5800000000	0.1839760000	0.2754670000	1.9919000000	3.0000000000	38.8821000000	105.2610000000	523	435
run105	9.9128000000	182.5000000000	0.0100000000	0.2969790000	0.0993264000	0.3721620000	0.3957450000	2.8301400000	-1068.8900000000	0.2412210000	0.1889850000	1.8821800000	2.0000000000	46.9829000000	241.5510000000	308	646
run106	10.0959000000	91.2500000000	0.1000000000	0.3511510000	0.4171640000	0.1496100000	0.5517300000	3.1197300000	-1066.2100000000	0.1912660000	0.1781240000	1.9249100000	2.0000000000	46.6332000000	284.3320000000	191	646
run107	11.6900000000	91.2500000000	0.0010000000	0.8867530000	0.8807620000	0.2754410000	0.4339930000	2.8729300000	-1071.8000000000	0.3663270000	0.1809650000	1.9286600000	1.0000000000	32.6539000000	299.5180000000	791	323
run108	8.7825800000	365.0000000000	0.0100000000	0.3378750000	0.6292550000	0.3098410000	0.6457000000	2.8788500000	-1063.7800000000	0.2326240000	0.1755030000	1.8897900000	1.0000000000	37.3849000000	282.8490000000	407	641
run109	12.2626000000	182.5000000000	0.0010000000	0.2425770000	0.5841970000	0.3435860000	0.6984080000	3.0846500000	-1072.1600000000	0.3445210000	0.2489810000	2.0508700000	3.0000000000	40.3848000000	187.8690000000	421	513
run110	8.8204300000	182.5000000000	0.0010000000	0.7235920000	0.6480730000	0.0925493000	0.2835630000	2.7178500000	-1061.6100000000	0.1293840000	0.2067330000	1.9930600000	3.0000000000	43.4098000000	273.5040000000	420	436
run111	8.7299100000	182.5000000000	0.0100000000	0.5821790000	0.4440810000	0.3731430000	0.5238290000	3.1578800000	-1061.3000000000	0.2610760000	0.1669150000	2.3490200000	1.0000000000	48.8549000000	141.6150000000	106	684
run112	9.0314100000	91.2500000000	0.0100000000	0.5455870000	0.7663380000	0.5505170000	0.1504070000	3.6103200000	-1074.3000000000	0.1173340000	0.1573720000	1.9577100000	2.0000000000	47.1496000000	229.2340000000	190	684
run113	12.0737000000	365.0000000000	0.0100000000	0.8368320000	0.3373760000	0.6574460000	0.0676495000	2.9445600000	-1067.4100000000	0.1967270000	0.1411700000	1.8707600000	2.0000000000	40.2231000000	231.3760000000	421	496
run114	9.1651800000	182.5000000000	0.0010000000	0.7000980000	0.5545170000	0.7342890000	0.1983510000	3.3796200000	-1064.1600000000	0.2423560000	0.1437000000	1.8860700000	3.0000000000	38.9621000000	192.9170000000	522	466
run115	7.2349100000	365.0000000000	0.1000000000	0.9580550000	0.6547300000	0.4445550000	0.2419360000	2.8946400000	-1071.9600000000	0.2725920000	0.3112650000	2.0225000000	3.0000000000	31.2220000000	189.2970000000	803	302
run116	14.2869000000	365.0000000000	0.0100000000	0.6654690000	0.7704790000	0.3462170000	0.6711530000	3.5722000000	-1062.2300000000	0.2122110000	0.2580350000	1.9337300000	2.0000000000	47.4120000000	133.2160000000	190	684
run117	8.9547100000	365.0000000000	0.0010000000	0.8498890000	0.5325640000	0.6151310000	0.7100430000	3.0069100000	-1070.7100000000	0.1687670000	0.1649450000	1.9877100000	1.0000000000	35.7021000000	177.4930000000	682	361
run118	11.8010000000	182.5000000000	0.0100000000	0.6328800000	0.2701600000	0.1340750000	0.7950860000	2.9154900000	-1070.6200000000	0.1355170000	0.1930540000	2.0836100000	2.0000000000	37.2793000000	216.6660000000	618	433
run119	11.2237000000	365.0000000000	0.1000000000	0.6161070000	0.7376430000	0.2891660000	0.0989924000	3.2520600000	-1065.1300000000	0.1654620000	0.2199210000	1.9703500000	1.0000000000	39.3545000000	296.0940000000	707	415
run120	10.2444000000	91.2500000000	0.1000000000	0.7690820000	0.6267710000	0.5491540000	0.7615740000	2.8194000000	-1062.8300000000	0.1646070000	0.2188600000	1.9345800000	1.0000000000	30.7752000000	218.8570000000	717	372
run121	11.1722000000	91.2500000000	0.1000000000	0.5731770000	0.2635590000	0.3281100000	0.8928660000	2.8500200000	-1069.8400000000	0.1290190000	0.1323430000	2.0044200000	1.0000000000	47.9492000000	126.3380000000	190	684
